City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
653,Port Hedland,AU,78.85,broken clouds,-20.3167,118.5667,The Esplanade Hotel
654,El Tigre,VE,77.04,broken clouds,8.8875,-64.2454,Hotel Santa Cruz
655,Cabra,ES,73.9,broken clouds,37.4725,-4.4421,MS Fuente Las Piedras
656,Imeni Poliny Osipenko,RU,83.16,broken clouds,52.4201,136.4853,Yubileynaya
657,Nanma,CN,81.01,broken clouds,36.1817,118.1583,GreenTree Inn Zibo Wuyuan County Lushan Road Express Hotel
659,Tura,IN,81.32,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
660,Gat,IL,73.4,broken clouds,31.61,34.7642,OlusHome
661,Sao Miguel Do Araguaia,BR,74.73,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
663,Magaria,NE,81.52,broken clouds,12.9983,8.9099,Chez Honorable Chapiou
665,Kalmunai,LK,82.51,broken clouds,7.4167,81.8167,VS Villa
667,Nakhon Thai,TH,80.51,broken clouds,17.1006,100.8374,Phet resort
671,Guilin,CN,84.31,broken clouds,25.2819,110.2864,Grand 0773 Hotel
672,Catemaco,MX,77.54,broken clouds,18.4167,-95.1167,Hotel Playa Cristal
675,Laguna,US,71.24,broken clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
677,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
679,Buala,SB,85.03,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
680,Ilebo,CD,71.91,broken clouds,-4.3167,20.5833,Hôtel BUMAK
682,Caravelas,BR,73.09,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
